x,y
1.0,-2720336
2.0,-2686029
3.0,-2651721
4.0,-2617413
5.0,-2583106
6.0,-2548798
7.0,-2514490
8.0,-2480182
9.0,-2445875
10.0,-2411567
11.0,-2377259
12.0,-2342952
13.0,-2308644
14.0,-2274336
15.0,-2240029
16.0,-2205721
17.0,-2171413
18.0,-2137106
19.0,-2102798
20.0,-2068490
21.0,-2034183
22.0,-1999875
23.0,-1965567
24.0,-1931260
25.0,-1896952
26.0,-1862644
27.0,-1828337
28.0,-1794029
29.0,-1759721
30.0,-1725414
31.0,-1691106
32.0,-1656798
33.0,-1622491
34.0,-1588183
35.0,-1553875
36.0,-1519568
37.0,-1485260
38.0,-1450952
39.0,-1416644
40.0,-1382337
41.0,-1348029
42.0,-1313721
43.0,-1279414
44.0,-1245106
45.0,-1210798
46.0,-1176491
47.0,-1142183
48.0,-1107875
49.0,-1073568
50.0,-1039260
51.0,-1004952
52.0,-970645
53.0,-936337
54.0,-902029
55.0,-867722
56.0,-833414
57.0,-799106
58.0,-764799
59.0,-730491
60.0,-696183
61.0,-661876
62.0,-627568
63.0,-593260
64.0,-558953
65.0,-524645
66.0,-490337
67.0,-456030
68.0,-421722
69.0,-387414
70.0,-353107
71.0,-318799
72.0,-284491
73.0,-250183
74.0,-215876
75.0,-181568
76.0,-147260
77.0,-112953
78.0,-78645
79.0,-44337
80.0,-10030
81.0,24278
82.0,58586
83.0,92893
84.0,127201
85.0,161509
86.0,195816
87.0,230124
88.0,264432
89.0,298739
90.0,333047
91.0,367355
92.0,401662
93.0,435970
94.0,470278
95.0,504585
96.0,538893
97.0,573201
98.0,607508
99.0,641816
100.0,676124
101.0,710431
102.0,744739
103.0,779047
104.0,813355
105.0,847662
106.0,881970
107.0,916278
108.0,950585
109.0,984893
110.0,1019201
111.0,1053508
112.0,1087816
113.0,1122124
114.0,1156431
115.0,1190739
116.0,1225047
117.0,1259354
118.0,1293662
119.0,1327970
120.0,1362277
121.0,1396585
122.0,1430893
123.0,1465200
124.0,1499508
125.0,1533816
126.0,1568123
127.0,1602431
128.0,1636739
129.0,1671046
130.0,1705354
131.0,1739662
132.0,1773969
133.0,1808277
134.0,1842585
135.0,1876892
136.0,1911200
137.0,1945508
138.0,1979816
139.0,2014123
140.0,2048431
141.0,2082739
142.0,2117046
143.0,2151354
144.0,2185662
145.0,2219969
146.0,2254277
147.0,2288585
148.0,2322892
149.0,2357200
150.0,2391508
151.0,2425815
152.0,2460123
153.0,2494431
154.0,2528738
155.0,2563046
156.0,2597354
157.0,2631661
158.0,2665969
159.0,2700277
160.0,2734584
161.0,2768892
162.0,2803200
163.0,2837507
164.0,2871815
165.0,2906123
166.0,2940430
167.0,2974738
168.0,3009046
169.0,3043354
170.0,3077661
171.0,3111969
172.0,3146277
173.0,3180584
174.0,3214892
175.0,3249200
176.0,3283507
177.0,3317815
178.0,3352123
179.0,3386430
180.0,3420738
181.0,3455046
182.0,3489353
183.0,3523661
184.0,3557969
185.0,3592276
186.0,3626584
187.0,3660892
188.0,3695199
189.0,3729507
190.0,3763815
191.0,3798122
192.0,3832430
193.0,3866738
194.0,3901045
195.0,3935353
196.0,3969661
197.0,4003968
198.0,4038276
199.0,4072584
200.0,4106891
201.0,4141199
202.0,4175507
203.0,4209815
204.0,4244122
205.0,4278430
206.0,4312738
207.0,4347045
208.0,4381353
209.0,4415661
210.0,4449968
211.0,4484276
212.0,4518584
213.0,4552891
214.0,4587199
215.0,4621507
216.0,4655814
217.0,4690122
218.0,4724430
219.0,4758737
220.0,4793045
221.0,4827353
222.0,4861660
223.0,4895968
224.0,4930276
225.0,4964583
226.0,4998891
227.0,5033199
228.0,5067506
229.0,5101814
230.0,5136122
231.0,5170429
232.0,5204737
233.0,5239045
234.0,5273353
235.0,5307660
236.0,5341968
237.0,5376276
238.0,5410583
239.0,5444891
240.0,5479199
241.0,5513506
242.0,5547814
243.0,5582122
244.0,5616429
245.0,5650737
246.0,5685045
247.0,5719352
248.0,5753660
249.0,5787968
250.0,5822275
251.0,5856583
252.0,5890891
253.0,5925198
254.0,5959506
255.0,5993814
256.0,6028121
257.0,6062429
258.0,6096737
259.0,6131044
260.0,6165352
261.0,6199660
262.0,6233967
263.0,6268275
264.0,6302583
265.0,6336890
266.0,6371198
267.0,6405506
268.0,6439814
269.0,6474121
270.0,6508429
271.0,6542737
272.0,6577044
273.0,6611352
274.0,6645660
275.0,6679967
276.0,6714275
277.0,6748583
278.0,6782890
279.0,6817198
280.0,6851506
281.0,6885813
282.0,6920121
283.0,6954429
284.0,6988736
285.0,7023044
286.0,7057352
287.0,7091659
288.0,7125967
289.0,7160275
290.0,7194582
291.0,7228890
292.0,7263198
293.0,7297505
294.0,7331813
295.0,7366121
296.0,7400428
297.0,7434736
298.0,7469044
299.0,7503352
300.0,7537659
301.0,7571967
302.0,7606275
303.0,7640582
304.0,7674890
305.0,7709198
306.0,7743505
307.0,7777813
308.0,7812121
309.0,7846428
310.0,7880736
311.0,7915044
312.0,7949351
313.0,7983659
314.0,8017967
315.0,8052274
316.0,8086582
317.0,8120890
318.0,8155197
319.0,8189505
320.0,8223813
321.0,8258120
322.0,8292428
323.0,8326736
324.0,8361043
325.0,8395351
326.0,8429659
327.0,8463966
328.0,8498274
329.0,8532582
330.0,8566890
331.0,8601197
332.0,8635505
333.0,8669813
334.0,8704120
335.0,8738428
336.0,8772736
337.0,8807043
338.0,8841351
339.0,8875659
340.0,8909966
341.0,8944274
342.0,8978582
343.0,9012889
344.0,9047197
345.0,9081505
346.0,9115812
347.0,9150120
348.0,9184428
349.0,9218735
350.0,9253043
351.0,9287351
352.0,9321658
353.0,9355966
354.0,9390274
355.0,9424581
356.0,9458889
357.0,9493197
358.0,9527504
359.0,9561812
360.0,9596120
361.0,9630427
362.0,9664735
363.0,9699043
364.0,9733351
365.0,9767658
366.0,9801966
367.0,9836274
368.0,9870581
369.0,9904889
370.0,9939197
