Day,Total Cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,1
11,2
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,5
41,5
42,28
43,30
44,31
45,34
46,39
47,43
48,56
49,62
50,73
51,82
52,102
53,113
54,119
55,142
56,156
57,194
58,244
59,330
60,396
61,499
62,536
63,657
64,727
65,887
66,987
67,1024
68,1251
69,1397
70,1998
71,2543
72,2567
73,3082
74,3588
75,4778
76,5311
77,5916
78,6725
79,7598
80,8446
81,9205
82,10453
83,11487
84,12322
85,13430
86,14352
87,15722
88,17615
89,18539
90,20080
91,21370
92,23077
93,24530
94,26283
95,27890
96,29451
97,31324
98,33062
99,34863
100,37257
101,39699
102,42505
103,46437
104,49400
105,52987
106,56351
107,59695
108,62808
109,67161
110,70768
111,74292
112,78055
113,81997
114,85784
115,90648
116,95698
117,100328
118,106475
119,112028
120,118226
121,124794
122,131423
123,138536
124,144950
125,150793
126,158086
127,165386
128,173491
129,181827
130,190609
131,198370
132,207191
133,216824
134,226713
135,236184
136,246622
137,257486
138,265928
139,276146
140,286605
141,297535
142,308993
143,320922
144,332424
145,343091
146,354065
147,366946
148,380532
149,395048
150,410451
151,425282
152,440215
153,456183
154,473105
